item_id,knowledge_code
1,[1]
2,[1]
3,[1]
4,[1]
5,[1]
6,[1]
7,[1]
8,[1]
9,[1]
10,[2]
11,[2]
12,[2]
13,[2]
14,[2]
15,[3]
16,[2]
17,[2]
18,[2]
19,[2]
20,[2]
21,[2]
22,[2]
23,[2]
24,[2]
25,[3]
26,[2]
27,[2]
28,[2]
29,[2]
30,[2]
31,[2]
32,[2]
33,[2]
34,[2]
35,[3]
36,[3]
37,[3]
38,[3]
39,[3]
40,[3]
41,[3]
42,[3]
43,[3]
44,[3]
45,[3]
46,[3]
47,[3]
48,[3]
49,[3]
50,[3]
51,[3]
52,[3]
53,[3]
54,[3]
55,[3]
56,[1]
57,[1]
58,[1]
59,[1]
60,[1]
61,[1]
62,[1]
63,[1]
64,[1]
65,[1]
66,[1]
67,[1]
68,[1]
69,[1]
70,[1]
71,[4]
72,[4]
73,[4]
74,[4]
75,[5]
76,[5]
77,[5]
78,[5]
79,[5]
80,[5]
81,[5]
82,[5]
83,[6]
84,[6]
85,[6]
86,[6]
87,[6]
88,[6]
89,[6]
90,[6]
91,[6]
92,[4]
93,[4]
94,[4]
95,[4]
96,[4]
97,[4]
98,[4]
99,[4]
100,[4]
101,[7]
102,[7]
103,[7]
104,[7]
105,[7]
106,[7]
107,[7]
108,[7]
109,[7]
110,[7]
111,[7]
112,[7]
113,[7]
114,[7]
115,[7]
116,[7]
117,[7]
118,[7]
119,[7]
120,[7]
121,[7]
122,[7]
123,[7]
124,[7]
125,[7]
126,[7]
127,[5]
128,[5]
129,[5]
130,[5]
131,[5]
132,[5]
133,[5]
134,[5]
135,[5]
136,[5]
137,[5]
138,[5]
139,[5]
140,[5]
141,[5]
142,[6]
143,[6]
144,[6]
145,[6]
146,[6]
147,[6]
148,[6]
149,[6]
150,[6]
151,[6]
152,[6]
153,[6]
154,[6]
155,[6]
156,[6]
157,[8]
158,[8]
159,[8]
160,[8]
161,[8]
162,[8]
163,[8]
164,[8]
165,[9]
166,[9]
167,[9]
168,[9]
169,[9]
170,[8]
171,[8]
172,[8]
173,[8]
174,[8]
175,[8]
176,[8]
177,[8]
178,[9]
179,[9]
180,[9]
181,[9]
182,[9]
183,[9]
184,[10]
185,[10]
186,[10]
187,[10]
188,[10]
189,[10]
190,[10]
191,[10]
192,[1]
193,[1]
194,[1]
195,[1]
196,[1]
197,[1]
198,[1]
199,[1]
200,[1]
201,[1]
202,[1]
203,[1]
204,[11]
205,[11]
206,[11]
207,[11]
208,[11]
209,[11]
210,[11]
211,[11]
212,[11]
213,[11]
214,[11]
215,[11]
216,[11]
217,[11]
218,[11]
219,[11]
220,[11]
221,[11]
222,[7]
223,[7]
224,[7]
225,[7]
226,[12]
227,[12]
228,[12]
229,[12]
230,[12]
231,[12]
232,[12]
233,[12]
234,[13]
235,[13]
236,[13]
237,[13]
238,[13]
239,[13]
240,[2]
241,[2]
242,[2]
243,[2]
244,[2]
245,[2]
246,[11]
247,[11]
248,[11]
249,[11]
250,[6]
251,[6]
252,[6]
253,[6]
254,[6]
255,[13]
256,[13]
257,[13]
258,[13]
259,[13]
260,[13]
261,[13]
262,[5]
263,[5]
264,[5]
265,[5]
266,[5]
267,[5]
268,[5]
269,[5]
270,[5]
271,[5]
272,[5]
273,[5]
274,[5]
275,[5]
276,[5]
277,[5]
278,[5]
279,[5]
280,[5]
281,[5]
282,[5]
283,[5]
284,[5]
285,[5]
286,[5]
287,[5]
288,[5]
289,[5]
290,[5]
291,[5]
292,[5]
293,[5]
294,[5]
295,[5]
296,[5]
297,[5]
298,[5]
299,[5]
300,[5]
301,[5]
302,[5]
303,[5]
304,[5]
305,[5]
306,[5]
307,[5]
308,[5]
309,[5]
310,[14]
311,[14]
312,[14]
313,[14]
314,[14]
315,[14]
316,[14]
317,[14]
318,[14]
319,[14]
320,[11]
321,[11]
322,[11]
323,[11]
324,[11]
325,[11]
326,[11]
